companyId;companyName;ticker;price;p_L;p_VP;p_Ebit;p_Ativo;eV_Ebit;margemBruta;margemEbit;margemLiquida;p_SR;p_CapitalGiro;p_AtivoCirculante;giroAtivos;roe;roa;roic;dividaliquidaPatrimonioLiquido;dividaLiquidaEbit;pl_Ativo;passivo_Ativo;liquidezCorrente;peg_Ratio;vpa;lpa;valorMercado;dy;liquidezMediaDiaria;receitas_Cagr5;lucros_Cagr5
491;ALPER;APER3;26,0;15,1507;0,6378;17,2974;0,3864;9,2807;100,0;7,85;8,96;1,3571;3,5423;-0,5442;0,28;4,21;2,55;1,93;-0,29;-7,95;0,61;0,39;1,6;-0,00087925;40,7681;1,7161;297565073,28;0,2663;697949,1;4,5;
376;KLABIN;KLBN11;19,78;4,5273;2,7831;2,9931;0,501;5,7676;51,69;37,96;25,1;1,1362;2,8138;-0,7169;0,44;61,47;11,07;14,36;2,57;2,77;0,18;0,78;2,45;0,10700552;7,0963;4,3624;22246855313,76;7,6411;139518712,98;18,37;14,58
376;KLABIN;KLBN3;3,96;4,5273;2,7831;2,9931;0,501;5,7676;51,69;37,96;25,1;1,1362;2,8138;-0,7169;0,44;61,47;11,07;14,36;2,57;2,77;0,18;0,78;2,45;0,10700552;1,4193;0,8725;22246855313,76;7,6411;1876098,38;18,37;14,58
376;KLABIN;KLBN4;3,97;4,5388;2,7902;3,0007;0,5023;5,7676;51,69;37,96;25,1;1,1391;2,821;-0,7188;0,44;61,47;11,07;14,36;2,57;2,77;0,18;0,78;2,45;0,10727642;1,4193;0,8725;22246855313,76;7,6218;9043360,03;18,37;14,58
223;GUARARAPES CONFECÇÕES;GUAR3;6,29;12,3455;0,6081;6,4543;0,222;11,3228;57,86;5,82;3,04;0,3757;1,1668;-0,5581;0,59;4,93;1,8;4,28;0,46;4,87;0,37;0,63;1,46;-0,24320834;10,3431;0,5095;3124992000,0;2,2337;15589314,88;4,05;-4,34
310;IGUATEMI EMPRESA DE SHOPPING CENTERS;IGTA3;33,0;222,991;1,7747;11,7107;0,8711;15,1104;60,16;47,52;2,5;5,5645;7,3757;-1,1971;0,16;0,8;0,39;6,98;0,52;3,4;0,49;0,51;1,77;-2,41209098;18,5944;0,148;5758073079,0;;;5,1;-30,7
215;MAGAZINE LUIZA;MGLU3;2,64;-48,1421;1,6489;71,3223;0,4952;91,2348;27,34;0,7;-1,04;0,5014;2,355;-1,168;0,99;-3,43;-1,03;-4,74;0,47;20,18;0,3;0,7;1,58;0,31755137;1,601;-0,0548;17817166878,72;;668385411,68;29,98;
324;ALFA HOLDINGS;RPAD3;7,14;9,6033;0,564;10,591;0,5616;9,1394;;;;;9,6916;-0,5988;0,0;5,87;5,85;5,26;-0,06;-1,15;1,0;0,0;14,72;0,04201101;12,6595;0,7435;587229614,01;0,0098;6922,5;;4,39
324;ALFA HOLDINGS;RPAD5;6,9;9,2805;0,545;10,235;0,5427;9,1394;;;;;9,3659;-0,5787;0,0;5,87;5,85;5,26;-0,06;-1,15;1,0;0,0;14,72;0,04059888;12,6595;0,7435;587229614,01;8,1843;5739,86;;4,39
324;ALFA HOLDINGS;RPAD6;6,69;8,998;0,5285;9,9235;0,5262;9,1394;;;;;9,0808;-0,561;0,0;5,87;5,85;5,26;-0,06;-1,15;1,0;0,0;14,72;0,03936326;12,6595;0,7435;587229614,01;0,0115;7690,89;;4,39
334;BANCO BANPARA;BPAR3;182,07;7,2841;1,0202;4,2975;0,1134;4,2975;55,65;14,23;8,39;0,6114;1,2706;-0,1246;0,19;14,01;1,56;;;;0,11;0,89;;0,29617714;178,4719;24,9955;1733606633,43;5,6945;;4,66;0,56
